"freq
References : ['S(1,1)','S(2,2)','S(2,1)']
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,2)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
10.50 MHz,0.953 / -44.428 ,0.926 / 63.719 ,0.262 / 98.028 
10.51 MHz,0.952 / -44.528 ,0.925 / 63.494 ,0.263 / 97.860 
10.52 MHz,0.952 / -44.629 ,0.925 / 63.268 ,0.264 / 97.691 
10.53 MHz,0.951 / -44.729 ,0.925 / 63.041 ,0.266 / 97.521 
10.54 MHz,0.951 / -44.830 ,0.924 / 62.814 ,0.267 / 97.351 
10.55 MHz,0.951 / -44.932 ,0.924 / 62.586 ,0.268 / 97.181 
10.56 MHz,0.950 / -45.034 ,0.923 / 62.358 ,0.269 / 97.010 
10.57 MHz,0.950 / -45.136 ,0.923 / 62.129 ,0.271 / 96.838 
10.58 MHz,0.949 / -45.239 ,0.923 / 61.900 ,0.272 / 96.666 
10.59 MHz,0.949 / -45.343 ,0.922 / 61.670 ,0.273 / 96.493 
10.60 MHz,0.948 / -45.447 ,0.922 / 61.440 ,0.274 / 96.320 
10.61 MHz,0.948 / -45.551 ,0.921 / 61.209 ,0.276 / 96.146 
10.62 MHz,0.947 / -45.656 ,0.921 / 60.977 ,0.277 / 95.972 
10.63 MHz,0.947 / -45.761 ,0.920 / 60.745 ,0.278 / 95.797 
10.64 MHz,0.946 / -45.867 ,0.920 / 60.513 ,0.279 / 95.621 
10.65 MHz,0.946 / -45.973 ,0.920 / 60.280 ,0.281 / 95.445 
10.66 MHz,0.945 / -46.080 ,0.919 / 60.046 ,0.282 / 95.268 
10.67 MHz,0.945 / -46.188 ,0.919 / 59.812 ,0.283 / 95.091 
10.68 MHz,0.945 / -46.295 ,0.918 / 59.577 ,0.285 / 94.913 
10.69 MHz,0.944 / -46.404 ,0.918 / 59.341 ,0.286 / 94.735 
10.70 MHz,0.943 / -46.512 ,0.917 / 59.105 ,0.287 / 94.556 
10.71 MHz,0.943 / -46.622 ,0.917 / 58.869 ,0.289 / 94.376 
10.72 MHz,0.942 / -46.732 ,0.916 / 58.632 ,0.290 / 94.196 
10.73 MHz,0.942 / -46.842 ,0.916 / 58.394 ,0.291 / 94.015 
10.74 MHz,0.941 / -46.953 ,0.915 / 58.156 ,0.293 / 93.833 
10.75 MHz,0.941 / -47.064 ,0.915 / 57.917 ,0.294 / 93.651 
10.76 MHz,0.940 / -47.176 ,0.914 / 57.677 ,0.295 / 93.469 
10.77 MHz,0.940 / -47.289 ,0.914 / 57.437 ,0.297 / 93.285 
10.78 MHz,0.939 / -47.402 ,0.913 / 57.197 ,0.298 / 93.102 
10.79 MHz,0.939 / -47.515 ,0.913 / 56.955 ,0.299 / 92.917 
10.80 MHz,0.938 / -47.629 ,0.912 / 56.713 ,0.301 / 92.732 
10.81 MHz,0.937 / -47.744 ,0.912 / 56.471 ,0.302 / 92.546 
10.82 MHz,0.937 / -47.859 ,0.911 / 56.228 ,0.304 / 92.360 
10.83 MHz,0.936 / -47.975 ,0.911 / 55.984 ,0.305 / 92.172 
10.84 MHz,0.936 / -48.091 ,0.910 / 55.740 ,0.306 / 91.985 
10.85 MHz,0.935 / -48.208 ,0.910 / 55.495 ,0.308 / 91.796 
10.86 MHz,0.935 / -48.326 ,0.909 / 55.250 ,0.309 / 91.607 
10.87 MHz,0.934 / -48.444 ,0.909 / 55.004 ,0.311 / 91.417 
