freq	dB(S(2,2))
1.08499999999999996E7	-8.21932372457983007E-1
1.08599999999999985E7	-8.27154980305859588E-1
1.08700000000000019E7	-8.32434764760077073E-1
1.08799999999999986E7	-8.37772498496557283E-1
1.08899999999999997E7	-8.43168966236456008E-1
1.09000000000000008E7	-8.48624964957390659E-1
1.09099999999999997E7	-8.54141304108479105E-1
1.09200000000000008E7	-8.59718805829535171E-1
1.09299999999999997E7	-8.65358305174554232E-1
1.09400000000000008E7	-8.71060650339525466E-1
1.09499999999999997E7	-8.76826702894367571E-1
1.09599999999999986E7	-8.82657338019822291E-1
1.09699999999999998E7	-8.88553444748459853E-1
1.09800000000000009E7	-8.94515926210667089E-1
1.09899999999999998E7	-9.00545699885380024E-1
1.10000000000000009E7	-9.06643697855452402E-1
1.10099999999999998E7	-9.12810867068263931E-1
1.10199999999999987E7	-9.19048169601122922E-1
1.10299999999999998E7	-9.25356582932325722E-1
1.10400000000000009E7	-9.31737100216758307E-1
1.10499999999999998E7	-9.38190730567749753E-1
1.10599999999999987E7	-9.44718499343534290E-1
1.10699999999999998E7	-9.51321448440208073E-1
1.10800000000000010E7	-9.58000636589669874E-1
1.10899999999999999E7	-9.64757139663805674E-1
1.10999999999999988E7	-9.71592050984661348E-1
1.11099999999999999E7	-9.78506481640583559E-1
1.11200000000000010E7	-9.85501560808466692E-1
1.11299999999999999E7	-9.92578436082647109E-1
1.11400000000000010E7	-9.99738273810139688E-1
1.11499999999999999E7	-1.00698225943220332E0
1.11600000000000010E7	-1.01431159783323643E0
1.11699999999999999E7	-1.02172751369607728E0
1.11799999999999988E7	-1.02923125186449393E0
1.11900000000000022E7	-1.03682407771287211E0
1.11999999999999988E7	-1.04450727752317762E0
1.12100000000000000E7	-1.05228215886962650E0
1.12200000000000011E7	-1.06015005101036497E0
1.12300000000000000E7	-1.06811230528778922E0
1.12400000000000011E7	-1.07617029553626464E0
1.12500000000000000E7	-1.08432541849773023E0
1.12599999999999989E7	-1.09257909424650745E0
1.12700000000000000E7	-1.10093276662154071E0
1.12799999999999989E7	-1.10938790366779205E0
1.12900000000000000E7	-1.11794599808659711E0
1.13000000000000012E7	-1.12660856769437689E0
1.13099999999999978E7	-1.13537715589114896E0
1.13200000000000012E7	-1.14425333213807878E0
1.13300000000000001E7	-1.15323869244483790E0
1.13399999999999990E7	-1.16233485986618401E0
1.13500000000000001E7	-1.17154348500910666E0
1.13599999999999990E7	-1.18086624654985139E0
1.13700000000000001E7	-1.19030485176112344E0
1.13799999999999990E7	-1.19986103705038105E0
1.13900000000000001E7	-1.20953656850826663E0
1.14000000000000012E7	-1.21933324246860075E0
1.14100000000000001E7	-1.22925288607938787E0
1.14199999999999990E7	-1.23929735788541517E0
1.14300000000000002E7	-1.24946854842209665E0
1.14400000000000013E7	-1.25976838082216291E0
1.14500000000000002E7	-1.27019881143363023E0
1.14599999999999991E7	-1.28076183045057546E0
1.14700000000000002E7	-1.29145946255713095E0
1.14800000000000013E7	-1.30229376758311277E0
1.14900000000000002E7	-1.31326684117454495E0
1.14999999999999991E7	-1.32438081547629283E0
1.15100000000000002E7	-1.33563785982901662E0
1.15199999999999991E7	-1.34704018148028037E0
1.15300000000000002E7	-1.35859002630999903E0
